shootStartTime,playerMovementBool,playerReactionTime,bulletHitTime,bulletHitPlayerCheck,shootEndTime,spawnerIndex,shootMode,shieldActive,session_type,user_id
3198.517,True,2.467041,3200.31958,True,3203.19141,3,True,False,estereo,7919CMA-3
3220.18042,True,2.07421875,3222.015,True,3224.68921,1,True,False,estereo,7919CMA-3
3239.14038,True,2.06567383,3240.97217,True,3243.65234,5,True,False,estereo,7919CMA-3
3252.62549,True,3.06738281,0.0,False,3256.6604,6,False,True,estereo,7919CMA-3
3269.08569,False,4.69897461,3270.9165,True,3273.78467,7,True,True,estereo,7919CMA-3
3285.598,True,3.87402344,3287.40625,True,3291.40332,2,True,True,estereo,7919CMA-3
3299.52539,True,2.23681641,3301.358,True,3305.32642,8,True,True,estereo,7919CMA-3
3312.97778,True,3.498291,3314.80347,True,3318.77734,4,True,True,estereo,7919CMA-3
3326.522,True,2.40478516,3328.3584,True,3331.229,3,True,True,estereo,7919CMA-3
3339.975,True,2.26708984,3341.807,True,3344.48022,5,True,True,estereo,7919CMA-3
3353.388,False,4.51001,0.0,False,3357.898,1,False,True,estereo,7919CMA-3
3360.40063,True,2.99951172,3362.23682,True,3366.20972,4,True,True,estereo,7919CMA-3
3373.85132,True,2.33618164,3375.686,True,3378.5625,3,True,True,estereo,7919CMA-3
3387.304,False,4.067871,0.0,False,3391.37183,8,False,True,estereo,7919CMA-3
3394.31274,True,2.50708,3396.14844,True,3400.124,2,True,True,estereo,7919CMA-3
3418.02,False,4.69897461,0.0,False,3422.719,7,False,True,estereo,7919CMA-3
3425.021,False,5.805664,3426.8623,True,3430.82666,6,True,True,estereo,7919CMA-3
3435.47339,True,2.36499023,3437.31,True,3439.97754,5,True,True,estereo,7919CMA-3
3448.922,False,4.069824,0.0,False,3452.992,4,False,True,estereo,7919CMA-3
3455.93042,True,2.6328125,3457.767,True,3461.73438,2,True,True,estereo,7919CMA-3
3469.377,True,3.93896484,3471.21826,True,3473.886,1,True,True,estereo,7919CMA-3
3486.436,False,4.69848633,0.0,False,3491.13452,3,False,True,estereo,7919CMA-3
3493.43945,False,5.80078125,3495.27881,True,3499.24023,8,True,True,estereo,7919CMA-3
